Asset_Subtype,Component_Name,Component_Type
Drip in Line,Control Wire,Control Wire
Drip in Line,Controller,Control System
Drip in Line,Controller and Valve,Control System
Drip in Line,Controller and Valve,Controller and Valve
Drip in Line,Emitters,Emitters
Drip in Line,Emitters,Main
Drip in Line,Laterals,Laterals
Drip in Line,Mainline,Mainline
Drip in Line,Valves,Control System
Drum Roller,Major Plant Main,Main
Earth Retaining Structure,Anchor Wall,Anchor
Earth Retaining Structure,Erosion Protection Main,Main
Earth Retaining Structure,Piles,Pile
Earth Retaining Structure,Walling,Wall
ECUPS (8 Batteries),UPS,TS UPS
Electrical - Orange,Cable,Main
Electrical - Orange,Conduit,Main
Electrical - Orange Spare,Conduit,Main
Emulsion Sprayer - Skid Mounted,Major Plant Main,Main
Enclosure,Bin Main,Main
Energy Absorbing,Bollard Main,Main
Energy Dissipation,Erosion Protection Main,Main
Entry/Exit,Main,Main
Ephemera,Archives Main,Main
Erosion Protection,Anchor Wall,Main
Erosion Protection,Erosion Protection Main,Main
Erosion Protection,Main,Main
Excavator,Major Plant Main,Main
Fan,Main,Main
Fast Charging Table,Main,Main
Festoon Light,Luminaire,Luminaire
Film Reader,Main,Main
Fingerboard,Custom Sign Main,Main
Firewall,Main,Main
Fitness Station,Playground Equipment Main,Main
Fitness Station,Softfall - Rubberised,Softfall
Fixed,Seat Main,Main
Flat Top,Picnic Table Main,Main
Floodlight,Catenary Pole,Catenary Pole
Floodlight,LE Luminaire,LE Luminaire
Floodlight,Primary Luminaire,Luminaire
Floodlight - Adelaide Bridge,LE Luminaire,LE Luminaire
Floodlight - Adelaide Bridge,LE Luminaire Cable,LE Luminaire Cable
Floodlight - Church,LE Luminaire,LE Luminaire
Floodlight - Church,LE Luminaire Cable,LE Luminaire Cable
Floodlight - Church,LE Luminaire Conduit,LE Luminaire Conduit
Floodlight - Directional,LE Luminaire,LE Luminaire
Floodlight - Sports Field,LE Luminaire,LE Luminaire
Floodlight - Sports Field,LE Luminaire Cable,LE Luminaire Cable
Floodlight - Sports Field,LE Luminaire Conduit,LE Luminaire Conduit
Floodlight - Sports Field,Luminaire,Luminaire
Floodlight Pole,LE Light Pole,LE Light Pole
Floodlight Tower - 12m,LE Light Pole,LE Light Pole
Floodlight Tower - 18m,LE Light Pole,LE Light Pole
Floodlight Tower - 32m,Pole,Main
Floodlight Tower - 32m,Primary Bracket,Bracket
Floor Drain,Stormwater Pit Main,Main
Flush Kerb,Kerb Main,Main
Folding Machine,Main,Main
Football Goal Posts,Football Goal Posts,Main
Forklift,Major Plant Main,Main
Fountain,Archives Main,Main
Free Standing,Seat Main,Main
Fuel Tanks,Main,Main
Furniture,Archives Main,Main
Furniture,Playground Equipment Main,Main
Fuse Pit,LE Lighting Pit,LE Lighting Pit
Fuse Pit,Main,Main
Fuse Pit,Pit Main,Main
Fuse Pit,Pod,Main
Fuse Pit - TBC,LE Lighting Pit,LE Lighting Pit
Gabion Basket Wall,Retaining Wall Main,Main
Galvanised Pipe,Conduit,Main
Garment,Archives Main,Main
Garment,Main,Main
Gateway,Main,Main
Gateway Sign,Custom Sign Main,Main
General,Main,Main
General,Playground Equipment Main,Main
Generator - Fixed,Major Plant Main,Main
Generator - Portable,Minor Plant Main,Main
Gold/Silver,Archives Main,Main
Golf Cart,Light Fleet Main,Main
Golf Equipment,Main,Main
Golf Greens - Turf Surface,Turf Surface,Main
Gross Pollutant Trap,Access Ladders,Main
Gross Pollutant Trap,Access Lids,Main
Gross Pollutant Trap,Baskets/Net,Main
Gross Pollutant Trap,Concrete Structure,Main
Gross Pollutant Trap,GPT Baffle System,Main
Gross Pollutant Trap,GPT Screens,Main
Gross Pollutant Trap,Gross Pollutant Trap Main,Main
Gross Pollutant Trap,Trash Racks,Main
Gum Remover,Minor Plant Main,Main
Handrail,Fence Main,Main
Handrail,Other Structures Main,Main
"Hanging Fingerboard Sign, Topham Mall",Custom Sign Main,Main
Headwall,Headwall Main,Main
Hedge,Garden Bed Main,Main
Heritage Shelter,Super Structure Main,Main
Heritage Style Acorn,Bollard Main,Main
Heritage Style Post Top Light,LE Luminaire,LE Luminaire
Heritage Style Post Top Light,LE Luminaire Cable,LE Luminaire Cable
Heritage Style Post Top Light,LE Luminaire Conduit,LE Luminaire Conduit
Heritage Style Post Top Pole,LE Light Pole,LE Light Pole
Heritage Style Post Top Pole,Pole,Main
Heritage Style Street Lighting Pole,LE Light Pole,LE Light Pole
Hoist,Major Plant Main,Main
Hoist - Scissor,Major Plant Main,Main
Hubs,Main,Main
Ice Maker,Major Plant Main,Main
ICUPS (2 Batteries),UPS,TS UPS
Inaccessible Junction Box,Stormwater Pit Main,Main
IndigoVision PTZ,CCTV Camera,Main
Informal Path,Formation,04 Working Platform
Informal Path,Pavement Base,02 Intermediate Course
Informal Path,Surface,01 Wearing Course
Information,Custom Sign Main,Main
Information Desk,Main,Main
Inlet,Stormwater Drain Main,Main
Inlet Pit,Lid,Lid
Inlet Pit,Stormwater Pit Main,Main
Intercom Equipment,Main,Main
Interpretive Large Sign,Custom Sign Main,Main
Interpretive Sign (Post Mounted),Custom Sign Main,Main
Investment Properties,Electrical Services,Electrical
Investment Properties,Fire Services,Fire
Investment Properties,Fitout and Fittings,Fitout and Fittings
Investment Properties,Hydraulic Services,Hydraulics
Investment Properties,Mechanical Services,Mechanical
Investment Properties,Roof Structure,Roof
Investment Properties,Structure,Main
Investment Properties,Vertical Transport Services,Transport Service
Irrigation,Back Flow Main,Main
Irrigation,Backflow,Backflow
Irrigation,Backflow,Main
Irrigation,Control Wire,Control Wire
Irrigation,Control wire,Main
Irrigation,Controller,Control System
Irrigation,Controller,Main
Irrigation,Controller and Valve,Control System
Irrigation,Controller and Valve,Controller and Valve
Irrigation,Controller and Valve,Main
Irrigation,Emitters,Emitters
Irrigation,Emitters,Main
Irrigation,Irrigation Main,Main
Irrigation,Laterals,Laterals
Irrigation,Laterals,Main
Irrigation,Mainline,Main
Irrigation,Mainline,Mainline
Irrigation,Valves,Control System
Irrigation,Valves,Main
Irrigation Parkland Space,Control Wire,Control Wire
Irrigation Parkland Space,Controller,Control System
Irrigation Parkland Space,Controller,Main
Irrigation Parkland Space,Emitters,Emitters
Irrigation Parkland Space,Irrigation Main,Main
Irrigation Parkland Space,Laterals,Laterals
Irrigation Parkland Space,Mainline,Mainline
Irrigation Parkland Space,Valves,Control System
Jnr Balance Rope,Playground Equipment Main,Main
Jnr Climber Poles,Playground Equipment Main,Main
Jnr Rope Unit,Playground Equipment Main,Main
Jnr See Saw,Playground Equipment Main,Main
Jnr Spring Rocker,Playground Equipment Main,Main
Jnr Step Poles,Playground Equipment Main,Main
Join Pit,LE Lighting Pit,LE Lighting Pit
Join Pit,Main,Main
Join Pit,Pit Main,Main
Join Pit,SCAT Join Pit,SCAT Join Pit
Junction Box,Inspection Opening,Main
Junction Box,Lid,Lid
Junction Box,Stormwater Pit Main,Main
JVH Kiato,Super Structure Main,Main
Kerb,Kerb Main,Main
Kerb and Water Table,Kerb Main,Main
Kitchen,Main,Main
Land,Land,Main
Laptop,Main,Main
Large (>1500mm x 2000mm),Planter Box Main,Main
Large Memorial,Artwork Lighting Main,Main
Large Memorial,Artwork Main,Main
Leased Building,Electrical Services,Electrical
Leased Building,Fire Services,Fire
Leased Building,Fitout and Fittings,Fitout and Fittings
Leased Building,Hydraulic Services,Hydraulics
Leased Building,Mechanical Services,Mechanical
Leased Building,Roof Structure,Roof
Leased Building,Structure,Main
Leased Building,Technology,Technology
Leased Building,Vertical Transport Services,Transport Service
LED,Bracket,Bracket
LED,LE Luminaire,LE Luminaire
LED,Luminaire,Luminaire
LED,Primary Luminaire,Luminaire
LED Strip,LE Luminaire,LE Luminaire
Library Equipment,Main,Main
Light Bollard,LE Luminaire,LE Luminaire
Light Bollard,LE Luminaire Cable,LE Luminaire Cable
Light Bollard,LE Luminaire Conduit,LE Luminaire Conduit
"Light Box Panel, Topham Mall",Custom Sign Main,Main
Lighting Panel,Lighting Control,Lighting Control
Linemarking Equipment,Minor Plant Main,Main
Loader,Major Plant Main,Main
"Long Panel Directional, Topham Mall",Custom Sign Main,Main
Low Gardens Retaining Wall,Retaining Wall Main,Main
Macadam Pavement (High Volume),01 Wearing Course,01 Wearing Course
Macadam Pavement (High Volume),02 Intermediate Course,02 Intermediate Course
Macadam Pavement (High Volume),03 Base Course,03 Base Course
Macadam Pavement (High Volume),04 Working Platform,04 Working Platform
Macadam Pavement (Low Volume),01 Wearing Course,01 Wearing Course
Macadam Pavement (Low Volume),02 Intermediate Course,02 Intermediate Course
Macadam Pavement (Low Volume),03 Base Course,03 Base Course
Main,Pipe Main,Main
Main,Stormwater Drain Main,Lid
Main,Stormwater Drain Main,Main
Main Switchboard - Above Ground - Large,LE Main Switchboard - Above Ground - Large,LE Main Switchboard - Above Ground - Large
Main Switchboard - Above Ground - Medium,LE Main Switchboard - Above Ground - Medium,LE Main Switchboard - Above Ground - Medium
Main Switchboard - Above Ground - Size TBC,LE Main Switchboard - Above Ground - Size TBC,LE Main Switchboard - Above Ground - Size TBC
Main Switchboard - Above Ground - Small,LE Main Switchboard - Above Ground - Small,LE Main Switchboard - Above Ground - Small
Main Switchboard - Above Ground - Victoria Square - Large,LE Main Switchboard - Above Ground - Victoria Square - Large,LE Main Switchboard - Above Ground - Victoria Square - Large
Main Switchboard - Below Ground,LE Main Switchboard - Below Ground,LE Main Switchboard - Below Ground
Main Switchboard - Wall Mounted - Small,LE Main Switchboard - Wall Mounted - Small,LE Main Switchboard - Wall Mounted - Small
Mains BBQ,BBQ Main,Main
Mains BBQ,Power Outlet Main,Ancillary
Major Footbridge,Abutment,Sub-Structure Other
Major Footbridge,Abutments,Sub-Structure Other
Major Footbridge,Batter Protection,Sub-Structure Other
Major Footbridge,Bearings,Super Structure Other
Major Footbridge,Bridge Footpath,Bridge Footpath
Major Footbridge,Bridge Railing,Rail
Major Footbridge,Column or Piles,Sub-Structure Other
Major Footbridge,Cross Bracing,Super Structure Other
Major Footbridge,Deck / Slab,Bridge Deck
Major Footbridge,Deck Joints,Super Structure Other
Major Footbridge,Deck Joints - Abutment Joint,Super Structure Other
Major Footbridge,Deck Joints - Sliding Joint,Super Structure Other
Major Footbridge,Deck Joints2,Super Structure Other
Major Footbridge,Deck Slab,Bridge Deck
Major Footbridge,Deck Truss,Super Structure Other
Major Footbridge,Girder Cladding,Super Structure Other
Major Footbridge,Handrails,Rail
Major Footbridge,Open Girders,Super Structure Other
Major Footbridge,Pier Protection,Sub-Structure Other
Major Footbridge,Piers,Sub-Structure Other
Major Footbridge,Pile Caps,Sub-Structure Other
Major Footbridge,Precast Girders,Super Structure Other
Major Footbridge,Stringers,Super Structure Other
Major Footbridge,Wearing Surface,01 Wearing Course
Major Footbridge,Wingwall/Retaining Wall,Wingwall
Mall Decorations,Main,Main
Map,Archives Main,Main
Marquette,Archives Main,Main
Mast arm Pole,Pole Main,Main
Medal(s),Archives Main,Main
Medals,Archives Main,Main
Median Island,Kerb Main,Main
Medium (<=1500mm x 2000mm),Planter Box Main,Main
Meeting Room Equipment,Main,Main
Memorial,Archives Main,Main
Memorial,Drinking Fountain Main,Main
Mercury Vapour,LE Luminaire,LE Luminaire
Metal Halide,LE Luminaire,LE Luminaire
Metered,People Movement Sensor,Main
MetroLite,Parking Machine Main,Main
MIMS Wiring on Structure,Cable,Main
MIMS Wiring on Structure,Conduit,Main
Minor Footbridge,Abutment / Wingwall 1,Wingwall
Minor Footbridge,Abutment 1,Sub-Structure Other
Minor Footbridge,Abutment 2,Sub-Structure Other
Minor Footbridge,Abutments,Sub-Structure Other
Minor Footbridge,Apron,Super Structure Other
Minor Footbridge,Arches,Super Structure Other
Minor Footbridge,Batter Protection,Sub-Structure Other
Minor Footbridge,Batter Protection 1,Sub-Structure Other
Minor Footbridge,Batter Protection 2,Sub-Structure Other
Minor Footbridge,Cross Beams/Floor Beams,Super Structure Other
Minor Footbridge,Cross Bracing,Super Structure Other
Minor Footbridge,Culvert,Culvert Main
Minor Footbridge,Deck / Slab,Bridge Deck
Minor Footbridge,Deck / Wearing Surface,01 Wearing Course
Minor Footbridge,Handrails,Rail
Minor Footbridge,Handrails 1,Rail
Minor Footbridge,Headwalls/Wingwalls,Sub-Structure Other
Minor Footbridge,Kerb,Kerb
Minor Footbridge,Open Girders,Super Structure Other
Minor Footbridge,Outlet Protection,Sub-Structure Other
Minor Footbridge,Piers,Sub-Structure Other
Minor Footbridge,Primary Beams or Trusses,Super Structure Other
Minor Footbridge,Secondary Beams or Joists,Super Structure Other
Minor Footbridge,Span 1 Arch 1,Super Structure Other
Minor Footbridge,Span 1 Deck / Slab,Bridge Deck
Minor Footbridge,Span 1 Deck / Wearing Surface,Bridge Deck
Minor Footbridge,Span 1 Deck/Slab,Bridge Deck
Minor Footbridge,Span 1 Handrails 1,Rail
Minor Footbridge,Span 1 Handrails 2,Rail
Minor Footbridge,Span 1 Primary Beams or Trusses,Super Structure Other
Minor Footbridge,Span 1 Primary Beams or Trusses 1,Super Structure Other
Minor Footbridge,Span 1 Secondary Beams or Joists,Super Structure Other
Minor Footbridge,Span 1-3 Deck / Slab,Bridge Deck
Minor Footbridge,Span 1-3 Kerb 1,Kerb
Minor Footbridge,Span 1-3 Primary Beams or Trusses,Super Structure Other
Minor Footbridge,Span 1-3 Secondary Beams or Joists,Super Structure Other
Minor Footbridge,Span 1-4 Deck / Slab,Bridge Deck
Minor Footbridge,Span 1-4 Primary Beams or Trusses,Super Structure Other
Minor Footbridge,Span 1-4 Secondary Beams or Joists,Super Structure Other
Minor Footbridge,Span 1-5  Primary Beams or Trusses,Super Structure Other
Minor Footbridge,Span 1-5 Deck / Slab,Bridge Deck
Minor Footbridge,Span 1-5 Handrails 1,Rail
Minor Footbridge,Span 1-5 Secondary Beams or Joists,Super Structure Other
Minor Footbridge,Stringers,Super Structure Other
Minor Footbridge,Wearing Surface,01 Wearing Course
Minor Footbridge,Wingwall/Retaining Wall,Wingwall
Minor Weir,Low Flow Bypass,Koala Crossing Lights
Minor Weir,North Access Barrier,Koala Crossing Lights
Minor Weir,North Access Stairs,Stairs
Minor Weir,North Rock Batter,Koala Crossing Lights
Minor Weir,South Access Barrier,Koala Crossing Lights
Minor Weir,South Access Stairs,Stairs
Minor Weir,South Rock Batter,Koala Crossing Lights
Minor Weir,Weir Structure,Main
Miscellaneous,Archives Main,Main
Miscellaneous,Christmas Tree Decoration,Ancillary
