Asset_Subtype,Component_Name,Component_Type,Service_Criteria_Type
Bollard Fence Linked,Fence Main,Main,Surface Damage Condition
Bollard Fence Unlinked,Fence Main,Main,Main Condition
Bollard Lighting Switch,LE Bollard Lighting Switch,LE Bollard Lighting Switch,Switchboard Condition
Boom Gate,Main,Main,Main Condition
Boom Gate - Twin Lane,Gate Main,Main,Main Condition
Bowls Lawn,Bowls Lawn Main,Main,Main Condition
Bows / Garlands,Main,Main,Main Condition
Box,Culvert Main,Main,Main Condition
Brace Arm Style,Gate Main,Main,Main Condition
Brace Arm Style,Gate Main,Main,Structural Compliance Condition
Brace Arm Style,Gate Main,Main,Structural Condition
Brace Arm Style,Gate Main,Main,Surface Damage Condition
Braced Steel Frame and Bars,Gate Main,Main,Main Condition
Braced Steel Frame and Bars,Gate Main,Main,Structural Compliance Condition
Braced Steel Frame and Bars,Gate Main,Main,Structural Condition
Braced Steel Frame and Bars,Gate Main,Main,Surface Damage Condition
Braced Timber Ranch Style,Gate Main,Main,Main Condition
Braced Timber Ranch Style,Gate Main,Main,Structural Compliance Condition
Braced Timber Ranch Style,Gate Main,Main,Structural Condition
Braced Timber Ranch Style,Gate Main,Main,Surface Damage Condition
Bracket Only,Bracket,Bracket,Main Condition
Brick Paver on Granular Pavement,01 Wearing Course,01 Wearing Course,Surface Condition
Brick Paver on Granular Pavement,03 Base Course,03 Base Course,Pavement Subbase Condition
Bud Lighting,Luminaire,Luminaire,Main Condition
Building Identification Sign,Custom Sign Main,Main,Main Condition
Building Identification Sign Small,Custom Sign Main,Main,Main Condition
Building Identification Sign Small,Custom Sign Main,Main,Structural Compliance Condition
Building Identification Sign Small,Custom Sign Main,Main,Structural Condition
Business Sign Plinth Short,Custom Sign Main,Main,Main Condition
Business Sign Plinth Tall,Custom Sign Main,Main,Main Condition
Business Sign Wall Mounted Short,Custom Sign Main,Main,Main Condition
Butt-Out,Bin Main,Main,Main Condition
Butt-Out,Bin Main,Main,Structural Compliance Condition
Butt-Out,Bin Main,Main,Structural Condition
Butt-Out,Bin Main,Main,Surface Damage Condition
Cabinet,CCTV Equipment Enclosure,Main,Main Condition
Cables and Conduits - Footpaths 29 core,Cable,Cable,Cable Condition
Cables and Conduits - Footpaths 29 core,Cable,Main,Cable Condition
Cables and Conduits - Footpaths 29 core,Conduit,Conduit,Conduit Condition
Cables and Conduits - Footpaths 29 core,Conduit,Main,Conduit Condition
Cables and Conduits - Roads 63 core,Cable,Cable,Cable Condition
Cables and Conduits - Roads 63 core,Conduit,Conduit,Conduit Condition
Cables and Conduits - Tramline 63 Core,Cable,Cable,Cable Condition
Cables and Conduits - Tramline 63 Core,Conduit,Conduit,Conduit Condition
Car Park Equipment,Main,Main,Main Condition
Carousels,Playground Equipment Main,Main,Main Condition
Carriageway,01 Wearing Course,01 Wearing Course,Surface Condition
Carriageway,02 Intermediate Course,02 Intermediate Course,Pavement Base Condition
Carriageway,03 Base Course,03 Base Course,Pavement Subbase Condition
Catenary Downlight - Gouger Street,Catenary Luminaire,Catenary Luminaire,Catenary Luminaire Condition
Catenary Downlight - Rundle Mall,Catenary Luminaire,Catenary Luminaire,Catenary Luminaire Condition
Catenary Electrical Cabling - Gouger Street (16m per Light),Catenary Electrical Cabling,Catenary Electrical Cabling,Catenary Electrical Cabling Condition
Catenary Electrical Cabling - Rundle Mall (6m per Light),Catenary Electrical Cabling,Catenary Electrical Cabling,Catenary Electrical Cabling Condition
Catenary Festoon Lighting - Ebenezer Place,Catenary Linear Lighting,Catenary Linear Lighting,Catenary Linear Lighting Condition
Catenary Festoon Lighting - Gresham Place,Catenary Linear Lighting,Catenary Linear Lighting,Catenary Linear Lighting Condition
Catenary Festoon Lighting - O'Connell Street Laneway,Catenary Linear Lighting,Catenary Linear Lighting,Catenary Linear Lighting Condition
Catenary Festoon Lighting - Peel Street,Catenary Linear Lighting,Catenary Linear Lighting,Catenary Linear Lighting Condition
Catenary Festoon Lighting - Rundle Street,Catenary Linear Lighting,Catenary Linear Lighting,Catenary Linear Lighting Condition
Catenary Festoon Lighting - Solomon Street,Catenary Linear Lighting,Catenary Linear Lighting,Catenary Linear Lighting Condition
Catenary Festoon Lighting - Tavistock Lane,Catenary Linear Lighting,Catenary Linear Lighting,Catenary Linear Lighting Condition
Catenary Festoon Lighting - Vardon Avenue,Catenary Linear Lighting,Catenary Linear Lighting,Catenary Linear Lighting Condition
Catenary Festoon Lighting - Vaughan Place,Catenary Linear Lighting,Catenary Linear Lighting,Catenary Linear Lighting Condition
Catenary Festoon Lighting - Victoria Sqaure - Across Lawn,Catenary Linear Lighting,Catenary Linear Lighting,Catenary Linear Lighting Condition
Catenary Festoon Lighting - Victoria Square Arbour - East,Catenary Linear Lighting,Catenary Linear Lighting,Catenary Linear Lighting Condition
Catenary Festoon Lighting - Victoria Square Arbour - West,Catenary Linear Lighting,Catenary Linear Lighting,Catenary Linear Lighting Condition
Catenary Pole - Gouger Street,Catenary Pole,Catenary Pole,Catenary Pole Condition
Catenary Pole - Gouger Street,Primary Luminaire,Luminaire,Luminaire Condition
Catenary Pole - Rundle Mall,Catenary Pole,Catenary Pole,Catenary Pole Condition
Catenary Pole - Rundle Mall,Primary Luminaire,Luminaire,Luminaire Condition
Catenary Pole - Solomon Street,Catenary Pole,Catenary Pole,Catenary Pole Condition
Catenary System - Ebenezer Place,Catenary System,Catenary System,Catenary System Condition
Catenary System - Gouger Street,Catenary System,Catenary System,Catenary System Condition
Catenary System - Gresham Place,Catenary System,Catenary System,Catenary System Condition
Catenary System - O'Connell Street Laneway,Catenary System,Catenary System,Catenary System Condition
Catenary System - Peel Street,Catenary System,Catenary System,Catenary System Condition
Catenary System - Rundle Mall,Catenary System,Catenary System,Catenary System Condition
Catenary System - Rundle Street,Catenary System,Catenary System,Catenary System Condition
Catenary System - Solomon Street,Catenary System,Catenary System,Catenary System Condition
Catenary System - Tavistock Lane,Catenary System,Catenary System,Catenary System Condition
Catenary System - Vardon Avenue,Catenary System,Catenary System,Catenary System Condition
Catenary System - Vaughan Place,Catenary System,Catenary System,Catenary System Condition
Catenary System - Victoria Square - Across Lawn,Catenary System,Catenary System,Catenary System Condition
C-Bus System - Large,Lighting Control,Lighting Control,Lighting Control Condition
C-Bus System - Small,Lighting Control,Lighting Control,Lighting Control Condition
CCTV Pole - Adepole 5m,LE CCTV Pole,LE CCTV Pole,LE CCTV Pole Condition
CCTV Pole - Stepped Post Top 3.5m,LE CCTV Pole,LE CCTV Pole,LE CCTV Pole Condition
Central Market Precinct,Electrical Services,Electrical,Electrical Condition
Central Market Precinct,Fire Services,Fire,Fire Condition
Central Market Precinct,Fitout and Fittings,Fitout and Fittings,Fitouts and Fittings Condition
Central Market Precinct,Hydraulic Services,Hydraulics,Hydraulics Condition
Central Market Precinct,Roof Structure,Roof,Roof Condition
Central Market Precinct,Structure,Main,Main Condition
Central Market Precinct,Vertical Transport Services,Transport Service,Transport Condition
Chain,Gate Main,Main,Main Condition
Chain,Gate Main,Main,Structural Compliance Condition
Chain,Gate Main,Main,Structural Condition
Chain,Gate Main,Main,Surface Damage Condition
Chess Set - Concrete,Concrete Base,Main,Main Condition
Circular,Bike Rack Main,Main,Main Condition
Circular,Bike Rack Main,Main,Structural Compliance Condition
Circular,Bike Rack Main,Main,Structural Condition
Circular,Bike Rack Main,Main,Surface Damage Condition
Climber,Playground Equipment Main,Main,Main Condition
Commercial Buildings,Fire Services,Fire,Fire Condition
Commercial Buildings,Fitout and Fittings,Fitout and Fittings,Fitouts and Fittings Condition
Commercial Buildings,Structure,Main,Main Condition
Comms - White,CCTV Cable and Conduit,Main,Main Condition
Comms - White,Conduit,Main,Main Condition
Community - Libraries and Community Halls,Fitout and Fittings,Fitout and Fittings,Fitouts and Fittings Condition
Community - Libraries and Community Halls,Mechanical Services,Mechanical,Mechanical Condition
Community - Libraries and Community Halls,Vertical Transport Services,Transport Service,Transport Condition
Community - Park Lands Businesses,Electrical Services,Electrical,Electrical Condition
Community - Park Lands Businesses,Electrical Services,Electrical,Main Condition
Community - Park Lands Businesses,Hydraulic Services,Hydraulics,Hydraulics Condition
Community - Park Lands Businesses,Roof Structure,Roof,Roof Condition
Community - Park Lands Businesses,Structure,Main,Main Condition
Community - Park Lands Sports Clubs and Grandstands,Fitout and Fittings,Fitout and Fittings,Fitouts and Fittings Condition
Community - Park Lands Sports Clubs and Grandstands,Hydraulic Services,Hydraulics,Hydraulics Condition
Community - Park Lands Sports Clubs and Grandstands,Mechanical Services,Mechanical,Mechanical Condition
Community - Park Lands Sports Clubs and Grandstands,Structure,Main,Main Condition
Concrete,Planter Box Main,Main,Main Condition
Concrete,Planter Box Main,Main,Structural Compliance Condition
Concrete,Planter Box Main,Main,Structural Condition
Concrete,Planter Box Main,Main,Surface Damage Condition
Concrete and Mosaic,Planter Box Main,Main,Main Condition
Concrete and Mosaic,Planter Box Main,Main,Structural Compliance Condition
Concrete and Mosaic,Planter Box Main,Main,Structural Condition
Concrete and Mosaic,Planter Box Main,Main,Surface Damage Condition
Concrete Cylindrical,Bollard Main,Main,Main Condition
Concrete Cylindrical,Bollard Main,Main,Structural Compliance Condition
Concrete Cylindrical,Bollard Main,Main,Structural Condition
Concrete Cylindrical,Bollard Main,Main,Surface Damage Condition
Conduit - 100mm,SCAT Conduit,SCAT Conduit,SCAT Conduit Condition
Consumer Main,Cable,Main,Main Condition
Consumer Main,Conduit,Main,Main Condition
Controller,Controller Main,Main,Main Condition
Controller,Irrigation Main,Main,Main Condition
Controller,Master Valve,Main,Main Condition
Copper Cable - 20 Pair,SCAT Cable,SCAT Cable,SCAT Cable Condition
Copper Cable - 50 Pair,SCAT Cable,SCAT Cable,SCAT Cable Condition
Corporation,Fire Services,Fire,Fire Condition
Corporation,Fitout and Fittings,Fitout and Fittings,Fitouts and Fittings Condition
Corporation,Hydraulic Services,Hydraulics,Hydraulics Condition
Corporation,Mechanical Services,Mechanical,Mechanical Condition
Corporation,Roof Structure,Roof,Roof Condition
Corporation,Structure,Main,Main Condition
Creek,Creek Main,Main,Main Condition
Crib Wall,Retaining Wall Main,Main,Main Condition
Cricket Net,Cricket Net Main,Main,Main Condition
Cricket Pitch,Cricket Pitch Main,Main,Main Condition
Cricket Pitch - Concrete,Concrete Base,Main,Main Condition
Croquet Field,Croquet Field Main,Main,Main Condition
Cultural,Custom Sign Main,Main,Main Condition
Culvert,Stormwater Drain Main,Main,Main Condition
Culvert Footbridge,Abutment / Wingwall 1,Wingwall,Main Condition
Culvert Footbridge,Abutment / Wingwall 1,Wingwall,Significance
Culvert Footbridge,Culvert No. 1,Culvert Main,Culvert Condition
Culvert Footbridge,Culvert No. 1,Culvert Main,Significance
Culvert Footbridge,Deck / Wearing Surface,01 Wearing Course,Significance
Culvert Footbridge,Deck / Wearing Surface,01 Wearing Course,Surface Condition
Culvert Footbridge,Handrails 1,Rail,Rail Condition
Culvert Footbridge,Handrails 1,Rail,Significance
Culvert Footbridge,Headwall 1,Headwall,Main Condition
Culvert Footbridge,Headwall 1,Headwall,Significance
Culvert Footbridge,Span 1 Deck / Wearing Surface,Bridge Deck,Deck Condition
Culvert Footbridge,Span 1 Deck / Wearing Surface,Bridge Deck,Significance
Curved,Drinking Fountain Main,Main,Main Condition
Curved,Drinking Fountain Main,Main,Structural Compliance Condition
Curved,Drinking Fountain Main,Main,Structural Condition
Curved,Drinking Fountain Main,Main,Surface Damage Condition
Custom Sign,Custom Sign Main,Main,Main Condition
Cycle Bollard,Custom Sign Main,Main,Main Condition
Cycle Bollard,Custom Sign Main,Main,Structural Compliance Condition
Cycle Bollard,Custom Sign Main,Main,Structural Condition
Cycle Detector-Induction,Detector Loop,Detector Loop,Detector Loop Condition
Cycle Directional Panel,Custom Sign Main,Main,Main Condition
CycleWay,Formation,04 Working Platform,Formation Condition
CycleWay,Pavement Base,02 Intermediate Course,Pavement Base Condition
CycleWay,Surface,01 Wearing Course,Surface Condition
Cyclist Push Button,Push Button,Push Button,Main Condition
Cyclist Push Button,Push Button,Push Button,Push Button Condition
D Pit,Pit Main,Main,Main Condition
D Pit,Pit Main,Main,Pit Condition
Decorative Lighting,Main,Main,Main Condition
Defibrillator,Defibrillator Main,Main,Main Condition
Detention,Basins Main,Main,Main Condition
Display,Main,Main,Main Condition
Dog Dispenser,Bin Main,Main,Main Condition
Double Braced Steel,Gate Main,Main,Main Condition
Double Braced Steel,Gate Main,Main,Structural Compliance Condition
Double Braced Steel,Gate Main,Main,Structural Condition
Double Braced Steel,Gate Main,Main,Surface Damage Condition
Double D Pit,Pit Main,Main,Main Condition
Double D Pit,Pit Main,Main,Pit Condition
Double Gatic,Pit Main,Main,Main Condition
Double Gatic,Pit Main,Main,Pit Condition
Double Steel Bar,Gate Main,Main,Main Condition
Double Steel Bar,Gate Main,Main,Structural Compliance Condition
Double Steel Bar,Gate Main,Main,Structural Condition
Double Steel Bar,Gate Main,Main,Surface Damage Condition
Double Steel Bar,Tree Main,Main,Consequence of Failure
Double Steel Bar,Tree Main,Main,Likelihood Matrix
Double Steel Bar,Tree Main,Main,Likelihood of Failure
Double Steel Bar,Tree Main,Main,Likelihood of Impact
Double Steel Bar,Tree Main,Main,Risk Rating Matrix
Downlight,LE Luminaire,LE Luminaire,LE Luminaire Condition
Downlight,LE Luminaire Cable,LE Luminaire Cable,LE Luminaire Cable Condition
Drip in Line,Backflow,Main,Main Condition
Drip in Line,Control Wire,Control Wire,Main Condition
Drip in Line,Controller,Control System,Main Condition
Drip in Line,Controller and Valve,Control System,Main Condition
Drip in Line,Emitters,Main,Main Condition
Drip in Line,Irrigation Main,Main,Main Condition
Drip in Line,Laterals,Laterals,Main Condition
Drip in Line,Mainline,Mainline,Main Condition
Drip in Line,Valves,Control System,Main Condition
Earth Retaining Structure,Anchor Wall,Anchor,Footing/Anchor Condition
Earth Retaining Structure,Erosion Protection Main,Main,Main Condition
Earth Retaining Structure,Piles,Pile,Pile Condition
ECUPS (8 Batteries),UPS,TS UPS,UPS Condition
Electrical - Orange,Cable,Main,Main Condition
Electrical - Orange,Conduit,Main,Main Condition
Electrical - Orange Spare,Conduit,Main,Main Condition
Enclosure,Bin Main,Main,Main Condition
Energy Absorbing,Bollard Main,Main,Main Condition
Energy Absorbing,Bollard Main,Main,Structural Compliance Condition
Energy Absorbing,Bollard Main,Main,Structural Condition
Energy Absorbing,Bollard Main,Main,Surface Damage Condition
Energy Dissipation,Erosion Protection Main,Main,Main Condition
Entry/Exit,Main,Main,Main Condition
Erosion Protection,Anchor Wall,Main,Footing/Anchor Condition
Erosion Protection,Erosion Protection Main,Main,Main Condition
Festoon Light,Luminaire,Luminaire,Main Condition
Fingerboard,Custom Sign Main,Main,Main Condition
Fitness Station,Fitness Station Main,Main,Main Condition
Fitness Station,Playground Equipment Main,Main,Main Condition
Fitness Station,Softfall - Rubberised,Softfall,Softfall Surface Condition
Fixed,Seat Main,Main,Main Condition
Fixed,Seat Main,Main,Structural Compliance Condition
Fixed,Seat Main,Main,Structural Condition
Fixed,Seat Main,Main,Surface Damage Condition
Fixed,Tree Main,Main,Consequence of Failure
Fixed,Tree Main,Main,Likelihood Matrix
Fixed,Tree Main,Main,Likelihood of Failure
Fixed,Tree Main,Main,Likelihood of Impact
Fixed,Tree Main,Main,Risk Rating Matrix
Flat Top,Picnic Table Main,Main,Main Condition
Flat Top,Picnic Table Main,Main,Structural Compliance Condition
Flat Top,Picnic Table Main,Main,Structural Condition
Flat Top,Picnic Table Main,Main,Surface Damage Condition
Floodlight,Catenary Pole,Catenary Pole,Catenary Pole Condition
Floodlight,LE Luminaire,LE Luminaire,LE Luminaire Condition
Floodlight,Primary Luminaire,Luminaire,Luminaire Condition
Floodlight - Adelaide Bridge,LE Luminaire,LE Luminaire,LE Luminaire Condition
Floodlight - Adelaide Bridge,LE Luminaire Cable,LE Luminaire Cable,LE Luminaire Cable Condition
Floodlight - Church,LE Luminaire,LE Luminaire,LE Luminaire Condition
Floodlight - Church,LE Luminaire Cable,LE Luminaire Cable,LE Luminaire Cable Condition
Floodlight - Church,LE Luminaire Conduit,LE Luminaire Conduit,LE Luminaire Conduit Condition
Floodlight - Directional,LE Luminaire,LE Luminaire,LE Luminaire Condition
Floodlight - Sports Field,LE Luminaire,LE Luminaire,LE Luminaire Condition
Floodlight - Sports Field,LE Luminaire Cable,LE Luminaire Cable,LE Luminaire Cable Condition
Floodlight - Sports Field,LE Luminaire Conduit,LE Luminaire Conduit,LE Luminaire Conduit Condition
Floodlight - Sports Field,Luminaire,Luminaire,Luminaire Condition
Floodlight Pole,LE Light Pole,LE Light Pole,LE Light Pole Condition
Floodlight Tower - 12m,LE Light Pole,LE Light Pole,LE Light Pole Condition
Floodlight Tower - 18m,LE Light Pole,LE Light Pole,LE Light Pole Condition
Floodlight Tower - 32m,LE Light Pole,LE Light Pole,LE Light Pole Condition
Floodlight Tower - 32m,Pole,Main,Main Condition
Floodlight Tower - 32m,Primary Bracket,Bracket,Bracket Condition
Floor Drain,Stormwater Pit Main,Main,Main Condition
Flush Kerb,Kerb Main,Main,Main Condition
Folding Machine,Main,Main,Main Condition
Football Goal Posts,Football Goal Posts,Main,Main Condition
Furniture,Playground Equipment Main,Main,Main Condition
Fuse Pit,LE Lighting Pit,LE Lighting Pit,LE Lighting Pit Condition
Fuse Pit,Main,Main,Main Condition
Fuse Pit,Pit Main,Main,Main Condition
Fuse Pit,Pit Main,Main,Pit Condition
Fuse Pit - TBC,LE Lighting Pit,LE Lighting Pit,LE Lighting Pit Condition
Fuse Pit - TBC,Pit Main,Main,Main Condition
Gabion Basket Wall,Retaining Wall Main,Main,Main Condition
Gateway Sign,Custom Sign Main,Main,Main Condition
General,Playground Equipment Main,Main,Main Condition
General Sports Field,General Sports Field Main,Main,Main Condition
Golf Greens - Turf Surface,Turf Surface,Main,Main Condition
Golf Net,Golf Net Main,Main,Main Condition
Green Infrastructure,Other Structures Main,Main,Main Condition
Gross Pollutant Trap,Gross Pollutant Trap Main,Main,Main Condition
Handrail,Fence Main,Main,Main Condition
Handrail,Fence Main,Main,Structural Compliance Condition
Handrail,Fence Main,Main,Structural Condition
Handrail,Fence Main,Main,Surface Damage Condition
Headwall,Headwall Main,Main,Main Condition
Heritage Style Acorn,Bollard Main,Main,Main Condition
Heritage Style Acorn,Bollard Main,Main,Structural Compliance Condition
Heritage Style Acorn,Bollard Main,Main,Structural Condition
Heritage Style Acorn,Bollard Main,Main,Surface Damage Condition
Heritage Style Post Top Light,LE Luminaire,LE Luminaire,LE Luminaire Condition
Heritage Style Post Top Light,LE Luminaire Cable,LE Luminaire Cable,LE Luminaire Cable Condition
Heritage Style Post Top Light,LE Luminaire Conduit,LE Luminaire Conduit,LE Luminaire Conduit Condition
Heritage Style Post Top Pole,LE Light Pole,LE Light Pole,LE Light Pole Condition
Heritage Style Post Top Pole,Pole,Main,Main Condition
Heritage Style Street Lighting Pole,LE Light Pole,LE Light Pole,LE Light Pole Condition
Hockey Field,Hockey Field Main,Main,Main Condition
Horse Trough,Other Structures Main,Main,Main Condition
Hubs,Main,Main,Main Condition
ICUPS (2 Batteries),UPS,TS UPS,UPS Condition
Inaccessible Junction Box,Stormwater Pit Main,Main,Main Condition
IndigoVision PTZ,CCTV Camera,Main,Main Condition
Informal Path,Footpaths Main,Main,Main Condition
Informal Path,Formation,04 Working Platform,Formation Condition
Informal Path,Pavement Base,02 Intermediate Course,Pavement Base Condition
Informal Path,Surface,01 Wearing Course,Surface Condition
Information,Custom Sign Main,Main,Main Condition
Information,Custom Sign Main,Main,Structural Compliance Condition
Information,Custom Sign Main,Main,Structural Condition
Information,Custom Sign Main,Main,Surface Damage Condition
Inlet,Stormwater Drain Main,Main,Main Condition
Inlet Pit,Lid,Lid,Main Condition
Inlet Pit,Stormwater Pit Main,Main,Main Condition
Intercom Equipment,Main,Main,Main Condition
Internal,CCTV Equipment Enclosure,Main,Main Condition
Interpretive Large Sign,Custom Sign Main,Main,Main Condition
Interpretive Large Sign,Custom Sign Main,Main,Structural Compliance Condition
Interpretive Large Sign,Custom Sign Main,Main,Structural Condition
Interpretive Large Sign,Custom Sign Main,Main,Surface Damage Condition
Interpretive Sign (Post Mounted),Custom Sign Main,Main,Main Condition
Interpretive Sign (Post Mounted),Custom Sign Main,Main,Structural Compliance Condition
Interpretive Sign (Post Mounted),Custom Sign Main,Main,Structural Condition
Interpretive Sign (Post Mounted),Custom Sign Main,Main,Surface Damage Condition
Investment Properties,Mechanical Services,Mechanical,Mechanical Condition
Investment Properties,Roof Structure,Roof,Roof Condition
Irrigated Turf,Grassed Area Main,Main,Main Condition
Irrigation,Back Flow Main,Main,Main Condition
Irrigation,Backflow,Backflow,Main Condition
Irrigation,Backflow,Main,Main Condition
Irrigation,Control Wire,Control Wire,Main Condition
Irrigation,Control wire,Main,Main Condition
Irrigation,Controller,Control System,Main Condition
Irrigation,Controller,Main,Main Condition
Irrigation,Controller and Valve,Control System,Main Condition
Irrigation,Controller and Valve,Controller and Valve,Main Condition
Irrigation,Controller and Valve,Main,Main Condition
Irrigation,Emitters,Emitters,Main Condition
Irrigation,Emitters,Main,Main Condition
Irrigation,Irrigation Main,Main,Main Condition
Irrigation,Laterals,Laterals,Main Condition
Irrigation,Laterals,Main,Main Condition
Irrigation,Mainline,Main,Main Condition
Irrigation,Mainline,Mainline,Main Condition
Irrigation,Valves,Control System,Main Condition
Irrigation,Valves,Main,Main Condition
Irrigation Parkland Space,Control Wire,Control Wire,Main Condition
Irrigation Parkland Space,Controller,Control System,Controller Condition
Irrigation Parkland Space,Controller,Control System,Main Condition
Irrigation Parkland Space,Emitters,Emitters,Main Condition
Irrigation Parkland Space,Irrigation Main,Main,Main Condition
Irrigation Parkland Space,Laterals,Laterals,Main Condition
Irrigation Parkland Space,Mainline,Mainline,Main Condition
Irrigation Parkland Space,Valves,Control System,Controller Condition
Irrigation Parkland Space,Valves,Control System,Main Condition
Jnr Rope Unit,Playground Equipment Main,Main,Main Condition
Jnr See Saw,Playground Equipment Main,Main,Main Condition
Join Pit,LE Lighting Pit,LE Lighting Pit,LE Lighting Pit Condition
Join Pit,Main,Main,Main Condition
Join Pit,Pit Main,Main,Pit Condition
Join Pit,SCAT Join Pit,SCAT Join Pit,SCAT Pit Condition
Junction Box,Inspection Opening,Main,Main Condition
Junction Box,Lid,Lid,Main Condition
Junction Box,Stormwater Pit Main,Main,Main Condition
JVH Kiato,Super Structure Main,Main,Superstructure Condition
Kerb,Kerb Main,Main,Main Condition
Kerb and Water Table,Kerb Main,Main,Main Condition
